age,income,device_type
55,48027,ios
32,52545,android
46,38079,ios
53,37809,ios
51,33337,ios
76,30796,ios
53,35392,ios
39,51913,web
49,39286,ios
32,56163,android
49,50416,android
41,26377,ios
59,57859,ios
44,59729,android
48,38073,ios
43,55042,android
67,39722,ios
46,51172,ios
68,34826,ios
58,28482,ios
54,45406,android
53,48515,ios
53,45227,android
30,35791,ios
47,45201,android
58,53231,ios
49,49461,ios
35,52190,ios
49,41958,ios
67,64060,web
62,35885,android
49,55850,android
59,64182,ios
46,55770,android
32,47569,android
40,43660,web
65,62433,web
47,32924,ios
47,38358,web
47,45229,ios
69,64851,android
66,54557,ios
72,38383,ios
48,46276,web
52,42628,android
34,41482,ios
64,61746,android
38,33539,android
52,69305,android
39,59938,web
44,63090,ios
41,44444,ios
43,48200,ios
44,32802,ios
44,43704,android
58,55923,android
38,65552,ios
52,36714,ios
62,45613,ios
44,48184,android
42,33250,android
47,57096,android
61,41312,ios
51,47655,web
44,44576,ios
54,40527,ios
38,49915,ios
56,47412,ios
54,45537,android
46,41258,ios
41,53834,ios
41,69843,android
55,51678,ios
62,61953,ios
43,33317,ios
54,51893,web
29,36831,ios
44,32276,ios
49,41127,android
40,64302,android
40,61400,android
43,52916,android
52,31607,ios
48,47644,ios
27,53620,android
28,52106,ios
43,27874,android
54,39316,ios
22,49231,android
45,56435,ios
44,23646,android
63,48054,ios
46,51716,ios
53,60195,web
51,58314,android
28,56990,android
57,40400,android
52,27103,ios
55,45283,android
89,62019,ios
29,66721,ios
67,58526,ios
47,55152,ios
52,54555,android
49,43326,android
45,48439,ios
44,70028,ios
53,38689,android
34,69377,android
57,46135,web
45,65905,android
38,33118,ios
45,57030,ios
62,41158,android
44,33016,android
53,52622,android
42,62113,ios
57,39860,ios
56,32011,ios
68,48897,web
48,48950,ios
56,56579,android
50,61395,android
62,49287,ios
42,72266,android
57,52690,android
48,45842,ios
49,30661,ios
50,46848,web
52,45963,ios
48,61523,android
52,55549,web
65,35847,android
59,52067,ios
58,58058,ios
45,68336,android
41,60650,ios
59,59130,android
58,50721,ios
64,54659,ios
43,64994,ios
