age,income,device_type
39,66792,android
33,61095,android
41,50715,android
50,42236,android
32,58378,web
32,54721,web
50,60742,android
42,57622,web
30,62594,ios
40,43577,android
30,65808,android
30,52371,ios
37,74903,ios
15,41729,ios
17,70831,android
29,52374,android
24,42182,android
38,44193,android
25,46155,android
20,55089,android
49,56274,web
32,43115,web
35,49707,android
20,75707,web
29,70730,android
36,55235,android
23,50456,android
38,51440,ios
28,57362,web
32,37726,ios
28,46911,android
53,29976,ios
34,54790,android
24,57766,web
43,44201,ios
22,68887,android
37,35290,ios
15,32427,ios
21,52693,android
36,62565,ios
42,70207,android
36,44493,ios
33,62944,web
31,49537,web
20,47928,ios
27,60603,ios
30,57827,android
45,31083,ios
38,67718,android
17,66561,android
38,42493,android
31,54749,android
28,55928,ios
41,53128,android
45,43396,ios
44,41940,android
26,49693,android
31,64072,ios
38,56523,android
44,45552,android
30,59260,ios
33,15817,android
23,63785,web
23,29123,android
43,45650,android
48,36563,ios
34,34463,android
45,63929,android
38,44387,android
28,54158,android
38,49436,web
50,55724,android
34,50921,ios
50,34604,web
8,61955,android
43,44074,web
35,31321,android
32,44862,web
35,68009,android
15,60202,ios
32,45816,android
38,45808,android
49,46140,ios
29,74920,ios
26,54583,android
29,55160,android
44,62363,ios
38,52865,ios
29,46891,web
40,47643,ios
35,49140,web
44,49553,ios
27,58731,android
31,50623,android
31,58791,ios
20,49031,ios
37,50943,android
37,26021,android
35,60995,web
32,54157,ios
20,61976,android
30,15244,android
31,75060,android
26,48324,android
33,63298,android
39,37521,android
53,57353,ios
36,37359,android
37,42514,web
34,72968,web
15,47711,android
34,52609,ios
35,60440,android
59,55948,web
33,51805,android
38,54379,ios
34,78840,ios
23,49308,android
46,52413,android
42,62607,ios
42,63266,ios
25,64244,android
49,57664,ios
20,36283,android
40,69601,ios
56,36243,android
25,53631,web
29,40948,android
35,49230,android
29,53945,android
19,53856,android
35,55063,ios
24,69364,android
39,55442,web
25,47070,android
50,61569,android
27,64273,android
31,35268,android
43,57168,android
22,58414,android
37,46429,android
48,66508,android
18,48199,ios
36,51506,ios
37,47923,android
42,50186,android
22,36844,web
21,32719,ios
40,69134,ios
37,39836,android
37,38103,ios
38,24159,ios
28,42332,ios
37,34122,web
37,69704,android
27,62117,android
53,41742,ios
39,77029,web
23,61781,android
41,46102,android
25,20007,android
42,77491,android
46,33325,ios
26,30255,ios
44,62270,android
39,79277,android
43,66611,android
53,56766,android
32,57137,ios
27,60240,web
26,59107,web
26,53374,android
34,51250,web
38,49248,ios
37,40952,ios
43,46631,android
35,29684,android
49,48819,android
32,38136,android
62,36756,android
41,52158,android
26,66704,android
24,61019,ios
39,31153,android
32,38124,android
42,61289,web
39,38210,web
34,47304,ios
26,56600,web
19,38379,ios
30,51264,web
43,33991,android
37,42783,android
22,53837,android
36,30884,android
38,55285,android
26,49764,ios
36,56629,ios
35,52686,ios
23,66369,android
38,51502,web
40,44847,ios
45,51467,android
45,56519,ios
21,50586,android
25,50487,android
40,41576,web
40,42045,android
40,33168,android
73,70994,web
40,35073,ios
46,41685,android
44,41379,android
41,60739,android
31,46460,ios
42,64972,android
27,41918,android
32,53347,web
30,39975,ios
35,75741,android
58,35748,ios
16,53717,ios
41,57605,android
18,54965,android
30,47776,web
45,48442,android
35,50525,ios
24,48235,android
27,61566,android
41,76526,android
27,43310,android
37,33562,android
35,48940,android
28,80956,web
56,40355,web
41,69669,ios
14,70132,web
36,43356,android
28,56827,web
43,69540,android
27,45450,web
33,47557,web
40,43019,ios
43,37822,web
22,42208,ios
31,35312,android
30,50409,android
28,40760,ios
52,52805,android
39,31329,ios
22,53970,web
44,60002,android
56,26075,ios
45,54488,web
19,64732,web
30,35484,web
47,70070,ios
27,55028,web
39,41539,ios
42,49330,android
25,56699,android
34,50912,ios
2,56465,android
24,38951,ios
32,52032,ios
22,33035,android
51,48665,ios
20,39153,ios
30,41173,android
36,64833,android
49,63095,android
20,57309,android
46,36892,web
35,46203,android
25,64557,ios
39,51700,android
36,77831,android
28,54719,web
35,52304,ios
31,46290,android
36,51602,android
41,48170,android
50,58497,android
22,61480,ios
56,40568,android
15,34025,android
33,27965,android
40,56095,web
37,36759,web
28,24165,android
32,54662,ios
30,79915,android
29,49927,android
43,60061,ios
38,50981,web
28,48813,web
43,61028,ios
38,46516,android
43,53208,ios
41,53860,android
26,41982,ios
29,61904,android
42,47900,ios
41,40931,android
34,56438,android
36,39218,web
47,50338,android
29,49890,ios
40,63030,android
32,55696,android
32,49699,android
45,59813,android
43,66682,web
43,56693,android
48,50124,web
35,34257,ios
41,37218,android
31,46337,ios
38,42685,ios
33,47756,ios
35,50679,android
40,56356,android
26,49154,web
55,55838,web
24,50773,web
22,26294,android
46,38727,ios
42,48270,android
41,35483,android
41,57199,android
34,68369,ios
26,64625,android
35,47438,android
28,67888,web
44,51784,android
33,45954,android
26,42639,android
31,46370,web
39,45341,ios
29,52044,android
26,51926,web
37,50036,web
37,55243,android
29,64287,ios
30,61394,ios
37,32181,ios
20,19352,android
20,61211,web
27,33597,ios
32,47302,android
38,35958,android
49,28376,android
43,56497,android
33,59109,ios
34,43081,android
24,18907,android
34,43445,ios
32,54701,android
38,32253,web
26,52200,android
40,49816,android
50,56951,android
33,51434,android
39,38323,android
41,64358,ios
30,48097,web
37,49672,android
35,38800,ios
35,44680,ios
27,39382,web
35,47924,android
39,70540,android
49,33537,android
44,30637,ios
56,67654,web
27,47488,android
43,41971,android
36,62478,web
56,42732,web
26,71912,web
26,58135,ios
29,44145,android
13,75887,ios
29,42731,ios
27,58905,android
36,53591,ios
38,65620,ios
53,68738,android
44,50384,ios
29,40958,ios
26,55519,web
39,41867,android
21,74160,android
53,51638,ios
46,45616,android
30,52216,ios
17,33834,ios
48,38340,android
33,64404,ios
47,42117,ios
19,37437,android
29,56439,web
35,64228,web
35,58627,ios
30,61952,ios
41,40918,android
24,32938,web
33,68016,ios
36,46127,ios
40,46990,web
42,65938,android
23,56674,web
19,55470,android
47,75980,android
38,42277,android
27,61134,web
50,50684,web
36,53223,ios
46,68341,ios
35,56094,ios
55,56459,web
52,62870,android
32,45620,android
44,39929,android
41,37462,ios
48,26403,ios
25,74674,android
41,36761,android
45,47344,web
17,46678,android
23,53688,ios
14,59788,web
32,60325,android
42,43003,android
50,47994,ios
35,53390,web
51,47015,ios
21,69288,web
17,55891,android
34,58818,ios
38,57954,ios
34,64081,web
14,52172,android
34,34438,web
21,54796,ios
41,42183,android
38,43656,android
25,57036,web
29,64859,android
24,50255,android
34,53705,android
44,70426,web
25,52889,ios
40,81220,ios
29,56786,android
27,28870,ios
33,59040,ios
24,54573,web
29,65477,web
23,58078,android
54,48338,ios
35,35308,android
28,47491,ios
37,39793,android
33,43033,android
32,57062,android
41,70038,ios
42,54736,android
29,35649,ios
29,55335,android
32,64359,android
11,42682,ios
19,48391,android
48,50176,android
51,40581,ios
32,57779,android
40,48548,android
38,55034,android
65,39350,web
46,44750,ios
33,58668,ios
25,45526,ios
18,70723,android
37,45204,android
27,52696,ios
20,61191,android
28,32979,android
24,28870,android
51,31692,android
43,65151,web
34,43377,android
49,80698,ios
35,43229,android
26,52214,web
50,68505,android
40,74073,android
24,74738,ios
33,64500,ios
26,62288,android
21,57110,android
44,59340,android
54,43385,android
21,40181,android
40,49959,android
28,47957,android
30,44561,android
29,58356,ios
26,61463,web
35,51060,ios
26,67730,android
37,36299,android
34,47676,web
32,41398,android
25,27601,android
29,49007,ios
42,48539,ios
40,68161,ios
25,57569,android
35,37709,android
42,72249,web
18,64652,android
40,56985,ios
28,47282,ios
40,38486,ios
27,45533,android
16,63064,android
18,72615,ios
35,68518,web
37,44133,web
25,36564,android
41,51690,android
18,28778,web
34,53878,ios
22,48228,web
28,44407,android
35,30863,ios
26,56163,ios
31,43607,ios
45,35960,android
29,15532,android
43,49669,ios
23,71267,android
40,69935,android
49,44514,web
10,42773,android
27,55625,web
40,38019,android
32,53621,ios
38,59192,web
28,64723,android
35,48798,android
33,47555,android
46,39464,android
37,40077,ios
38,47282,web
30,54408,android
30,60963,android
30,40361,android
38,67912,ios
30,46746,android
37,49743,ios
55,41033,ios
43,20909,ios
31,60608,android
47,58842,ios
30,46624,android
14,50803,android
24,56191,web
16,31249,ios
31,43651,android
35,59531,android
51,34948,android
38,53522,android
32,33721,android
43,55597,android
12,49572,android
37,30618,ios
42,63976,ios
20,41184,ios
46,40276,android
38,52406,web
30,63783,web
41,37810,web
57,50740,web
36,55145,web
37,58317,ios
30,52117,android
26,45595,ios
43,40068,ios
26,51033,ios
35,37134,ios
30,14943,android
39,55238,android
38,60847,web
45,21644,ios
29,37883,ios
32,57429,android
25,74689,android
30,50249,web
38,41263,ios
42,47805,ios
25,66498,android
43,42248,ios
48,40409,android
39,44207,ios
53,38560,android
27,51472,android
22,69496,ios
17,53876,web
49,46971,android
41,46498,web
34,31241,android
37,60597,android
23,49065,android
59,47834,android
36,88317,ios
36,53585,android
42,40978,android
39,44883,web
37,63781,android
27,51359,ios
39,32740,android
53,61030,ios
48,41982,android
50,72479,android
29,62960,android
25,44632,android
33,65372,android
35,50814,ios
45,60233,web
18,55816,web
50,39843,ios
33,42277,android
30,62359,android
24,45982,android
18,45156,android
43,38538,ios
35,55083,ios
22,74750,android
22,37189,android
31,50290,web
51,66946,ios
32,49044,android
19,55428,web
32,37251,web
32,55139,android
8,47754,android
34,61828,ios
32,64248,web
41,81074,web
53,56955,android
